GTIN,Product Type,Category,Product Name,Image URL,Description,Regular Price,Pickup Price,SKU,isAlcohol,ABV(%),Caffeine Quantity,Caffeine reference unit,Net Value,Net Unit,Net Quantity,Gross weight,Gross Unit,Size Description,Energy Content,Serving Size,Tax,Quantity Restriction,Product Types,Deposit Type,Deposit Amount,Allergen information,Additive information,Additional information,Quantitative declaration of ingredients (QUID),Nutritional declaration,Name of manufacturer,Address of manufacturer,Country of origin or place of provenance,Storage conditions,Preparation instructions
,ITEM,Soft,Ice-Tea pétillant,,,2.6,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Soft,Ice-Tea pêche,,,2.6,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Soft,Ice-Tea Green,,,2.6,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Soft,Shweppes tonic,,,2.7,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Soft,Shweppes agrumes,,,2.7,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Soft,Shweppes Hibiscus,,,3.1,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Soft,Gini,,,2.6,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Soft,Oasis,,,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Soft,Redbull,,,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Soft,Cécémel froid,,,3.1,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Soft,Eau plate,,,2.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Soft,Eau pétillante,,,2.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Soft,Looza pomme,,,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Soft,Looza orange,,,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Soft,Looza cerise,,,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Bières,Jupiler 25cl,,,2.5,2.5,,TRUE,5.2,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Bières,Jupiler 33cl,,,3,3,,TRUE,5.2,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Bières,Jupiler 50cl,,,3.4,3.4,,TRUE,5.2,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Bières,Leffe blonde 25cl,,,3.4,3.4,,TRUE,6.6,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Bières,Leffe blonde 33cl,,,4,4,,TRUE,6.6,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Bières,Scootch cts 25cl,,,3.5,3.5,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Bières,Scootch cts 33cl,,,4.3,4.3,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Bières,Kriek belle vue,,,3.1,3.1,,TRUE,5.2,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Bières,Kriek,,,3.5,3.5,,TRUE,5,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Bières,Carlsberg,,,3.2,3.2,,TRUE,5,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Bières,Chimay Bleue,,,4.8,4.8,,TRUE,9,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Bières,Chimay dorée,,,4.1,4.1,,TRUE,4.8,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Bières,Chimay triple,,,4.5,4.5,,TRUE,8,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Bières,Desperados,,,4.2,4.2,,TRUE,5.9,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Bières,Duvel,,,4.2,4.2,,TRUE,8.5,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Bières,Hoegaarden blanche,,,3,3,,TRUE,4.9,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Bières,Hoegaarden rosée,,,3,3,,TRUE,3,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Bières,Jupiler 0%,,,2.5,2.5,,TRUE,0,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Bières,Triple Karmeliet,,,4.5,4.5,,TRUE,8.4,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Bières,Fram'bush,,,4.2,4.2,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Bières,Leffe brune,,,4,4,,TRUE,6.5,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Bières,Leffe Ruby,,,4,4,,TRUE,5,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Bières,Orval,,,4.5,4.5,,TRUE,6.2,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Bières,Peche mel bush,,,4.2,4.2,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Bières,Paix dieu triple,,,4.7,4.7,,TRUE,10,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Bières,Quintine blonde,,,4.4,4.4,,TRUE,8,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Bières,Saint feuillien,,,4.3,4.3,,TRUE,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Bières,Saint feuillien de Noël,,,4.3,4.3,,TRUE,9,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Bières,Westmalle triple,,,4.5,4.5,,TRUE,9.5,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Bières,Bass,,,4.5,4.5,,TRUE,5,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Vin,Rouge merlot,,,2.7,2.7,,TRUE,12.5,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Vin,Blanc chardonnay,,,2.7,2.7,,TRUE,12.5,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Vin,Rosé,,,2.7,2.7,,TRUE,12.5,,,,,,,,,,,,,,,,,,,,,,,,,
,ITEM,Petite Panne ?,Briquet,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
